,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,FTR,B365D,B365A,Score,Round,Home_Id,Away_Id
2828,03/09/2019,Fluminense,Avai,0.0,1.0,A,1.54,3.94,7.24,-0.5,0.0,19,15
2829,07/09/2019,Corinthians,Ceara,2.0,2.0,D,1.69,3.45,6.34,0.0,0.0,16,4
2830,07/09/2019,Vasco,Bahia,0.0,2.0,A,2.24,3.08,3.79,-1.0,0.0,11,3
2831,07/09/2019,Avai,Flamengo RJ,0.0,3.0,A,8.98,4.43,1.42,-1.5,0.0,15,12
2832,07/09/2019,Fortaleza,Fluminense,0.0,1.0,A,2.28,3.24,3.47,-0.5,0.0,8,19
2833,07/09/2019,Internacional,Sao Paulo,1.0,0.0,H,2.55,3.02,3.22,0.5,0.0,7,2
2834,08/09/2019,Goias,Palmeiras,1.0,2.0,A,5.91,3.56,1.7,-0.5,0.0,9,10
2835,08/09/2019,Cruzeiro,Gremio,1.0,4.0,A,2.66,3.0,3.08,-1.5,0.0,14,6
2836,08/09/2019,Botafogo RJ,Atletico-MG,2.0,1.0,H,3.38,3.44,2.23,0.5,0.0,13,5
2837,08/09/2019,Santos,Athletico-PR,1.0,1.0,D,1.5,4.39,6.95,0.0,0.0,1,0
2838,08/09/2019,CSA,Chapecoense-SC,2.0,0.0,H,2.59,2.98,3.2,1.0,0.0,18,17
2839,11/09/2019,Palmeiras,Fluminense,3.0,0.0,H,1.32,5.11,11.4,1.5,0.0,10,19
2840,14/09/2019,Flamengo RJ,Santos,1.0,0.0,H,1.58,4.04,6.25,0.5,0.0,12,1
2841,14/09/2019,Chapecoense-SC,Vasco,1.0,2.0,A,2.83,2.97,2.9,-0.5,0.0,17,11
2842,14/09/2019,Palmeiras,Cruzeiro,1.0,0.0,H,1.31,5.48,10.55,0.5,0.0,10,14
2843,15/09/2019,Ceara,Botafogo RJ,0.0,0.0,D,1.69,3.7,5.7,0.0,0.0,4,13
2844,15/09/2019,Athletico-PR,Avai,0.0,1.0,A,1.79,3.46,5.26,-0.5,0.0,0,15
2845,15/09/2019,Atletico-MG,Internacional,1.0,3.0,A,1.69,3.71,5.61,-1.0,0.0,5,7
2846,15/09/2019,Bahia,Fortaleza,1.0,1.0,D,1.61,3.79,6.47,0.0,0.0,3,8
2847,15/09/2019,Fluminense,Corinthians,1.0,0.0,H,3.23,3.06,2.51,0.5,0.0,19,16
2848,15/09/2019,Gremio,Goias,3.0,0.0,H,1.27,6.05,11.57,1.5,0.0,6,9
2849,15/09/2019,Sao Paulo,CSA,1.0,1.0,D,1.28,5.29,13.82,0.0,0.0,2,18
2850,21/09/2019,Botafogo RJ,Sao Paulo,1.0,2.0,A,3.73,3.26,2.17,-0.5,0.0,13,2
2851,21/09/2019,Cruzeiro,Flamengo RJ,1.0,2.0,A,3.94,3.49,2.03,-0.5,0.0,14,12
2852,21/09/2019,Corinthians,Bahia,2.0,1.0,H,1.93,3.19,4.96,0.5,0.0,16,3
2853,22/09/2019,Santos,Gremio,0.0,3.0,A,2.04,3.47,3.91,-1.5,0.0,1,6
2854,22/09/2019,Internacional,Chapecoense-SC,1.0,0.0,H,1.42,4.39,9.16,0.5,0.0,7,17
2855,22/09/2019,CSA,Ceara,1.0,0.0,H,3.16,3.12,2.51,0.5,0.0,18,4
